Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
Madam Chief Minister,2021,130,Drama,4.6,"1,383",Subhash Kapoor,Richa Chadha,Manav Kaul,Saurabh Shukla
Secrets of Sinauli,2021,56,"Documentary, History",9.3,"1,373",Raghav Jairath,Manoj Bajpayee,R.S. Bhist,K.N. Dixit
12 OClock,2021,105,"Horror, Thriller",4.4,63,Ram Gopal Varma,Mithun Chakraborty,Makrand Deshpande,Dalip Tahil
Shaadisthan,2021,94,"Drama, Musical",6,191,Raj Singh Chaudhary,Nivedita Bhattacharya,Sanjay Dadhich,Kirti Kulhari
Tribhanga,2021,95,"Drama, Family",6.1,"2,508",Renuka Shahane,Kajol,Tanvi Azmi,Mithila Palkar
Pitta Kathalu,2021,150,"Drama, Romance",5,627,Nag Ashwin,Tharun Bhascker Dhaassyam,B.V. Nandini Reddy,Sankalp Reddy
D Company,2021,91,"Action, Crime, Thriller",4.4,218,Ram Gopal Varma,Sandeep Bose,Abhilash Chaudhary,Pranay Dixit
Consequence Karma,2021,92,"Drama, Thriller",9,223,Shadab Ahmad,Sidharth Bhardwaj,Monis Khan,Pooja Gupta
Tuesdays and Fridays,2021,106,"Comedy, Musical, Romance",4.5,574,Taranveer Singh,Anmol Dhillon,Jhataleka Malhotra,Niki Walia
Main Mulayam Singh Yadav,2021,120,Biography,4.2,118,Suvendu Ghosh,Amyth Sethi,Govind Namdeo,Mukesh Tiwari
Searching for Sheela,2021,58,"Documentary, Biography, Crime",4.1,553,Shakun Batra,Ma Anand Sheela,Shoma Chaudhury,Anurag Chauhan
Majjma,2021,106,Drama,8.1,24,Prabhat Sachdeva,Amit Bhardwaj,Gagansharmaknl,Nanda Yadav
The Wife,2021,106,"Crime, Horror, Romance",4.5,235,Sarmad Khan,Gurmeet Choudhary,Shweta Dadhich,Sayani Datta
Lahore Confidential,2021,68,"Crime, Drama, Thriller",2.8,522,Kunal Kohli,Richa Chadha,Nikhat Khan,Abdullah Osman
Tank Cleaner,2021,155,Thriller,8.7,20,Parvinder Singh Wraich,Harkiran Kaur Wraich,Muntazir Ahmad,Sunny Gill Ambersariya
Half Songs,2021,79,"Music, Romance",9.7,7,Sriram Raja,Raj Banerjee,Emon Chatterjee,Purshottam Mulani
Yug the law of karma,2021,75,"Action, Crime, Drama",7.7,10,Dilip Kumar,Vinod Kumar,Dilip Kumar,Saurav Bagga
Yaara,2020,130,"Action, Crime, Drama",6.3,"3,955",Tigmanshu Dhulia,Vidyut Jammwal,Amit Sadh,Mohommed Ali Shah
Gul Makai,2020,132,"Biography, Drama, War",2.4,213,Amjad Khan,Reem Shaikh,Divya Dutta,Atul Kulkarni
